transaction_id,account_id,user_id,amount,transaction_type,category,transaction_time
75,91,57,162410,credit,rent,2025-12-15 16:38:15.830331
76,4,28,4289812,debt,,2025-05-25 16:38:15.830334
77,69,91,1195879,debt,groceries,2025-12-12 16:38:15.830338
78,42,8888,-2676701,debit,salary,2025-05-01 16:38:15.830342
79,129,8888,-45905,debit,rent,2025-05-16 16:38:15.830345
80,120,8888,-68820,credit,,2025-03-05 16:38:15.830349
81,96,8888,-3135199,debit,salary,2025-11-12 16:38:15.830352
82,114,8888,-2544599,debit,rent,2025-12-15 16:38:15.830355
83,97,8888,-1137209,debit,rent,2025-05-14 16:38:15.830359
84,41,8888,-244477,credit,,2025-09-30 16:38:15.830362
85,103,8888,4335122,debt,rent,2025-07-22 16:38:15.830366
86,9,8888,-2237537,debit,transfer,2025-11-18 16:38:15.830369
87,65,7,-3780080,credit,groceries,2025-08-17 16:38:15.830373
88,121,8888,-3157103,debit,salary,2025-12-15 16:38:15.830376
89,19,92,-3476577,debit,,2025-11-13 16:38:15.830380
90,33,48,-2289048,credit,salary,2025-09-12 16:38:15.830383
91,143,8888,-1432897,debit,transfer,2025-07-20 16:38:15.830387
92,96,8888,4469076,credit,rent,2025-09-07 16:38:15.830390
93,59,8888,2278119,debit,rent,2025-09-15 16:38:15.830394
94,88,8888,-413169,debit,salary,2025-07-27 16:38:15.830397
95,92,20,3199099,debt,groceries,2025-03-21 16:38:15.830401
96,110,8888,3372237,credit,groceries,2025-07-23 16:38:15.830404
97,94,74,-1682800,credit,rent,2025-09-27 16:38:15.830408
98,99,49,3858637,debt,groceries,2025-02-18 16:38:15.830411
99,62,60,3771432,debit,transfer,2025-07-28 16:38:15.830415
100,144,8888,-1139470,debit,,2025-12-02 16:38:15.830418
101,68,81,3143960,debit,salary,2025-03-24 16:38:15.830421
102,54,8888,-517815,debit,transfer,2025-12-01 16:38:15.830425
103,74,77,2165240,credit,groceries,2025-08-06 16:38:15.830428
104,124,8888,1805445,debit,,2025-05-09 16:38:15.830432
105,119,11,-860757,debit,,2025-08-31 16:38:15.830435
106,64,71,4842696,credit,salary,2025-11-20 16:38:15.830439
107,140,8888,4954676,debit,,2025-12-03 16:38:15.830442
108,148,1,1481715,credit,groceries,2025-02-21 16:38:15.830445
109,114,79,-2904220,credit,transfer,2025-10-01 16:38:15.830449
110,124,5,3267517,debit,,2025-04-12 16:38:15.830453
111,90,45,-203899,debit,transfer,2025-10-30 16:38:15.830456
112,114,94,-3091325,credit,groceries,2025-08-17 16:38:15.830460
113,79,8888,1844758,debt,transfer,2025-11-15 16:38:15.830463
114,89,8888,2287569,debt,transfer,2025-12-09 16:38:15.830466
115,141,8888,-4352094,credit,transfer,2025-04-14 16:38:15.830470
116,43,97,4844499,credit,salary,2025-07-15 16:38:15.830473
117,126,62,620884,credit,groceries,2025-04-30 16:38:15.830476
118,67,15,-1738921,debit,,2025-07-10 16:38:15.830480
119,118,73,2276044,credit,,2025-11-07 16:38:15.830483
120,138,53,4334802,credit,,2025-05-02 16:38:15.830486
121,106,8888,3284291,credit,rent,2025-03-15 16:38:15.830490
122,121,28,723505,debit,rent,2025-04-15 16:38:15.830493
123,1,36,733247,debt,transfer,2025-03-29 16:38:15.830496
124,84,89,1186900,debt,transfer,2025-05-28 16:38:15.830499
125,22,87,2415429,debt,,2025-08-01 16:38:15.830502
126,50,98,4352983,debt,,2025-12-12 16:38:15.830505
127,26,8888,704858,debt,,2025-10-28 16:38:15.830509
128,75,31,1212614,credit,transfer,2025-10-07 16:38:15.830512
129,30,17,558366,credit,,2025-11-04 16:38:15.830516
130,128,8888,868585,debt,,2025-11-08 16:38:15.830519
131,71,8888,4303853,credit,salary,2025-07-17 16:38:15.830523
132,120,44,1785856,debt,salary,2025-08-15 16:38:15.830526
133,5,8888,2038383,credit,salary,2025-05-23 16:38:15.830529
134,3,8888,-3509259,credit,salary,2025-07-08 16:38:15.830533
135,90,27,656732,credit,transfer,2025-09-27 16:38:15.830537
136,97,85,-1010510,debit,rent,2025-07-19 16:38:15.830540
137,132,8888,4093670,debt,rent,2025-04-10 16:38:15.830543
138,34,8888,3061006,debit,transfer,2025-12-12 16:38:15.830547
139,114,100,-4742676,debit,groceries,2025-04-17 16:38:15.830550
140,24,7,-4121041,credit,,2025-06-12 16:38:15.830554
141,22,11,1814500,debt,,2025-09-26 16:38:15.830557
142,66,44,3935042,debt,transfer,2025-09-16 16:38:15.830560
143,47,8888,3471542,debt,salary,2025-10-27 16:38:15.830564
144,103,8888,-1707169,debit,,2025-11-13 16:38:15.830567
145,58,8888,2100194,debt,transfer,2025-10-14 16:38:15.830570
146,137,8888,1200016,debit,salary,2025-05-22 16:38:15.830573
147,68,8888,1616823,debt,rent,2025-11-14 16:38:15.830577
148,67,71,3732950,debit,transfer,2025-08-31 16:38:15.830580
149,7,66,-2339076,debit,,2025-09-18 16:38:15.830584
150,80,8888,1253426,debt,,2025-03-11 16:38:15.830588
151,39,8888,2257936,debt,rent,2025-08-20 16:38:15.830591
152,96,8888,-1190803,debit,,2025-04-16 16:38:15.830595
153,37,28,-1203672,debit,rent,2025-02-20 16:38:15.830598
154,138,60,2107986,debt,groceries,2025-06-05 16:38:15.830608
155,107,100,914253,debit,,2025-08-24 16:38:15.830613
156,88,8888,2142043,debit,rent,2025-08-06 16:38:15.830617
157,43,8888,-28106,credit,salary,2025-11-29 16:38:15.830620
158,68,8888,4445983,debt,transfer,2025-05-28 16:38:15.830624
159,36,8888,-2247455,credit,rent,2025-02-11 16:38:15.830627
160,21,85,4699440,debit,,2025-02-22 16:38:15.830631
161,114,8888,1562245,debit,salary,2025-08-20 16:38:15.830634
162,86,13,-19853,credit,,2025-05-20 16:38:15.830638
163,46,8888,4443888,debit,salary,2025-11-22 16:38:15.830641
164,34,100,-3017957,credit,salary,2025-07-30 16:38:15.830645
165,133,68,4647406,debit,,2025-07-31 16:38:15.830648
166,100,92,4081859,credit,groceries,2025-05-01 16:38:15.830652
167,15,8,-2980230,debit,groceries,2025-07-02 16:38:15.830655
168,92,8888,3311598,debt,groceries,2025-08-01 16:38:15.830659
169,41,90,-3842551,debit,salary,2025-07-21 16:38:15.830662
170,108,41,-398034,credit,,2025-04-20 16:38:15.830666
171,104,8888,4376833,debt,groceries,2025-08-07 16:38:15.830669
172,39,8888,3769940,debit,rent,2025-02-09 16:38:15.830672
173,109,8888,969269,debt,transfer,2025-06-25 16:38:15.830675
174,126,8888,-2241779,debit,groceries,2025-12-05 16:38:15.830679
175,139,99,-1162744,debit,salary,2025-04-10 16:38:15.830682
176,89,70,1983863,debt,transfer,2025-09-04 16:38:15.830685
177,1,8888,1079537,debit,salary,2025-08-24 16:38:15.830689
178,30,18,-893264,credit,transfer,2025-12-12 16:38:15.830693
179,134,7,4226929,debit,salary,2025-10-29 16:38:15.830696
180,117,8888,-2828641,debit,groceries,2025-04-15 16:38:15.830700
181,137,34,142596,credit,,2025-10-30 16:38:15.830703
182,21,46,-2020710,debit,transfer,2025-02-13 16:38:15.830707
183,134,48,-2150246,debit,salary,2025-07-07 16:38:15.830710
184,44,12,-3539245,credit,groceries,2025-06-18 16:38:15.830713
185,127,19,-287146,credit,,2025-08-23 16:38:15.830717
186,11,8888,724239,debit,salary,2025-06-09 16:38:15.830720
187,110,60,4252417,credit,salary,2025-05-31 16:38:15.830724
188,112,8888,395990,debt,salary,2025-02-26 16:38:15.830727
189,112,52,881557,debit,salary,2025-09-20 16:38:15.830730
190,132,32,1970419,credit,,2025-08-20 16:38:15.830734
191,33,8888,3464435,credit,salary,2025-02-23 16:38:15.830737
192,43,68,4959846,credit,salary,2025-06-01 16:38:15.830741
193,60,8888,-4037130,debit,,2025-06-10 16:38:15.830744
194,141,8888,-2664829,debit,rent,2025-08-03 16:38:15.830748
195,98,8888,2690482,credit,transfer,2025-03-08 16:38:15.830752
196,7,8888,3277090,debt,transfer,2025-09-11 16:38:15.830755
197,58,8888,-4501100,debit,groceries,2025-03-04 16:38:15.830759
198,147,45,613415,debt,rent,2025-12-16 16:38:15.830762
199,56,8888,3493330,credit,salary,2025-05-18 16:38:15.830765
200,40,8888,4629050,debt,rent,2025-10-13 16:38:15.830769
201,74,52,734958,debt,salary,2025-12-18 16:38:15.830772
202,117,8888,991771,credit,groceries,2025-04-26 16:38:15.830775
203,28,80,-3922036,debit,rent,2025-05-14 16:38:15.830779
204,78,96,2200340,credit,transfer,2025-10-22 16:38:15.830782
205,136,8888,4844659,credit,,2025-06-06 16:38:15.830786
206,68,65,3239804,debt,groceries,2025-10-29 16:38:15.830789
207,77,8888,564941,debit,groceries,2025-09-13 16:38:15.830792
208,64,8888,-4720707,debit,groceries,2025-09-05 16:38:15.830796
209,80,61,322090,debt,salary,2025-05-04 16:38:15.830799
210,6,81,4171273,debt,transfer,2025-11-28 16:38:15.830803
211,132,8888,1532114,debit,salary,2025-05-02 16:38:15.830806
212,9,8888,4175056,credit,groceries,2025-05-27 16:38:15.830810
213,37,8888,-774663,credit,transfer,2025-09-05 16:38:15.830813
214,87,8888,2661255,debt,,2025-10-13 16:38:15.830817
215,84,10,3691255,credit,groceries,2025-08-10 16:38:15.830820
216,88,8888,4691410,debt,rent,2025-07-30 16:38:15.830823
217,18,59,-1151108,credit,rent,2025-02-15 16:38:15.830826
218,49,8888,-4367617,debit,transfer,2025-03-19 16:38:15.830830
219,38,8888,647636,credit,salary,2025-10-22 16:38:15.830833
220,92,8888,472812,debit,transfer,2025-12-01 16:38:15.830836
221,111,8888,3948966,debt,salary,2025-06-26 16:38:15.830840
222,26,8888,-4373328,credit,rent,2025-10-20 16:38:15.830843
223,18,88,1821486,debit,transfer,2025-12-06 16:38:15.830846
224,93,8888,2317118,credit,salary,2025-10-08 16:38:15.830850
225,60,65,-2100443,debit,salary,2025-11-15 16:38:15.830853
226,105,8888,1306540,debt,transfer,2025-08-22 16:38:15.830856
227,105,90,1672016,debt,,2025-10-08 16:38:15.830859
228,51,62,1296504,credit,rent,2025-11-26 16:38:15.830863
229,90,65,992783,debt,,2025-06-19 16:38:15.830866
230,126,8888,4958495,debt,salary,2025-10-14 16:38:15.830869
231,68,8888,-4570054,debit,salary,2025-07-22 16:38:15.830873
232,47,8888,4950788,debt,,2025-06-05 16:38:15.830876
233,104,8888,-4149068,debit,salary,2025-05-07 16:38:15.830879
234,109,66,-3121346,credit,rent,2025-03-08 16:38:15.830883
235,30,22,754742,debt,,2025-07-24 16:38:15.830887
236,6,8888,2415902,debt,,2025-12-15 16:38:15.830890
237,48,8888,1621828,debt,,2025-12-14 16:38:15.830893
238,23,8888,1394645,debt,rent,2025-06-24 16:38:15.830897
239,56,74,4273842,credit,groceries,2025-04-04 16:38:15.830900
240,134,60,-929994,debit,groceries,2025-03-11 16:38:15.830904
241,120,15,123359,debit,salary,2025-02-16 16:38:15.830907
242,98,8888,2565305,debt,rent,2025-02-20 16:38:15.830910
243,104,10,-3083135,credit,salary,2025-06-18 16:38:15.830914
244,20,8888,921916,credit,salary,2025-12-19 16:38:15.830917
245,88,8888,3597579,debt,transfer,2025-09-18 16:38:15.830921
246,26,8888,-2586602,debit,transfer,2025-11-28 16:38:15.830924
247,29,4,-4906652,credit,,2025-09-29 16:38:15.830928
248,40,59,1615412,debt,transfer,2025-10-13 16:38:15.830931
249,70,8888,-814244,credit,groceries,2025-06-22 16:38:15.830934
250,68,25,2133747,credit,transfer,2025-06-11 16:38:15.830938
251,126,16,29006,debt,transfer,2025-07-21 16:38:15.830941
252,15,56,4877640,debt,,2025-05-24 16:38:15.830944
253,149,8888,2914759,credit,rent,2025-10-06 16:38:15.830948
254,62,8888,-35582,debit,,2025-07-30 16:38:15.830951
255,43,8888,-1008411,credit,rent,2025-09-29 16:38:15.830955
256,38,8888,-1409890,debit,transfer,2025-08-22 16:38:15.830959
257,45,72,1337750,debit,salary,2025-03-31 16:38:15.830962
258,110,8888,376710,debt,rent,2025-11-28 16:38:15.830966
259,132,8888,-3516019,debit,,2025-11-09 16:38:15.830969
260,140,8888,2696562,debt,transfer,2025-09-29 16:38:15.830973
261,7,86,3692532,debit,rent,2025-09-13 16:38:15.830976
262,94,8888,2926237,debit,,2025-03-20 16:38:15.830979
263,140,22,-1738031,credit,groceries,2025-11-06 16:38:15.830983
264,137,3,1451676,credit,groceries,2025-10-25 16:38:15.830986
265,12,27,-1645107,debit,transfer,2025-08-22 16:38:15.830990
266,87,8888,2830908,credit,salary,2025-05-22 16:38:15.830993
267,6,8888,723147,debt,transfer,2025-09-08 16:38:15.830997
268,140,8888,1167524,debit,groceries,2025-04-15 16:38:15.831000
269,150,8888,-1748155,debit,rent,2025-03-10 16:38:15.831003
270,40,8888,2154542,credit,,2025-11-18 16:38:15.831007
271,80,21,3265625,debt,groceries,2025-08-13 16:38:15.831011
272,145,8888,4248190,debt,transfer,2025-08-06 16:38:15.831014
273,125,30,1957026,debit,,2025-10-08 16:38:15.831017
274,16,100,4755549,debit,salary,2025-09-20 16:38:15.831021
275,74,51,273280,debt,rent,2025-07-27 16:38:15.831025
276,82,37,-3332635,debit,transfer,2025-12-07 16:38:15.831028
277,86,61,-2039289,debit,groceries,2025-06-07 16:38:15.831032
278,82,8888,3731225,debit,salary,2025-07-25 16:38:15.831035
279,18,8888,-4693967,credit,,2025-07-05 16:38:15.831039
280,84,20,2936700,credit,groceries,2025-05-20 16:38:15.831042
281,126,99,1446859,debit,transfer,2025-04-04 16:38:15.831046
282,11,23,4848563,debt,transfer,2025-04-07 16:38:15.831049
283,30,80,-4041453,debit,groceries,2025-03-31 16:38:15.831052
284,136,19,2135943,credit,groceries,2025-12-19 16:38:15.831056
285,91,8888,3742498,debit,rent,2025-08-14 16:38:15.831059
286,111,64,2105678,debit,salary,2025-03-01 16:38:15.831062
287,142,8888,1484301,debit,groceries,2025-03-26 16:38:15.831066
288,34,99,3388746,debit,transfer,2025-07-07 16:38:15.831070
289,5,8888,2329226,debt,,2025-03-17 16:38:15.831073
290,84,8888,1861664,debt,rent,2025-11-10 16:38:15.831076
291,46,55,-1717006,credit,groceries,2025-08-07 16:38:15.831080
292,125,84,2800631,debt,,2025-04-18 16:38:15.831083
293,129,8888,645857,debit,groceries,2025-09-23 16:38:15.831086
294,49,8888,-2964762,debit,groceries,2025-11-09 16:38:15.831090
295,140,25,237674,debt,rent,2025-04-29 16:38:15.831093
296,36,8888,2136783,debit,groceries,2025-12-01 16:38:15.831097
297,48,8888,1026653,debt,,2025-07-24 16:38:15.831100
298,132,8888,-4131263,debit,,2025-05-11 16:38:15.831103
299,74,19,3880303,debt,salary,2025-09-05 16:38:15.831106
300,29,8888,1732683,debt,salary,2025-02-21 16:38:15.831110
301,36,8888,4705046,debit,salary,2025-10-21 16:38:15.831113
302,31,8888,4498095,debt,transfer,2025-10-02 16:38:15.831116
303,132,8888,1958351,debt,transfer,2025-07-28 16:38:15.831119
304,5,8888,-3011646,debit,salary,2025-07-09 16:38:15.831123
305,103,44,2642112,debit,salary,2025-09-14 16:38:15.831126
306,71,8888,694719,credit,rent,2025-10-13 16:38:15.831130
307,76,33,2286743,debt,transfer,2025-03-23 16:38:15.831133
308,145,8888,384917,debit,,2025-11-22 16:38:15.831136
309,94,8888,2215130,debit,salary,2025-11-16 16:38:15.831140
310,7,16,3619423,credit,rent,2025-06-12 16:38:15.831144
311,56,24,303281,debt,rent,2025-12-11 16:38:15.831147
312,75,1,1649820,credit,rent,2025-08-06 16:38:15.831150
313,22,8888,724000,debt,,2025-06-29 16:38:15.831154
314,85,30,-1112028,credit,,2025-12-10 16:38:15.831157
315,96,23,-103239,credit,salary,2025-09-22 16:38:15.831160
316,71,8888,2719228,debt,,2025-10-14 16:38:15.831164
317,79,82,3495361,credit,transfer,2025-05-26 16:38:15.831167
318,58,8888,-1520879,debit,transfer,2025-09-28 16:38:15.831171
319,58,91,-4308650,credit,salary,2025-08-31 16:38:15.831174
320,76,8888,-4007762,credit,salary,2025-07-10 16:38:15.831178
321,120,8888,4160003,debt,salary,2025-08-22 16:38:15.831181
322,59,49,4876602,credit,groceries,2025-03-16 16:38:15.831184
323,66,24,-830418,credit,groceries,2025-11-22 16:38:15.831188
324,38,8888,4679482,debit,groceries,2025-06-08 16:38:15.831191
325,51,8888,2552697,debt,,2025-12-20 16:38:15.831195
326,126,8888,1532119,debit,salary,2025-09-19 16:38:15.831198
327,32,8888,4871004,debt,,2025-09-27 16:38:15.831201
328,27,8888,313636,debt,rent,2025-05-23 16:38:15.831204
329,34,20,4464344,debt,,2025-10-09 16:38:15.831207
330,63,8888,-11409,credit,rent,2025-06-15 16:38:15.831211
331,20,71,-1861200,debit,,2025-03-18 16:38:15.831214
332,90,8,1344595,debit,rent,2025-06-16 16:38:15.831217
333,3,8888,599812,debt,transfer,2025-11-27 16:38:15.831221
334,102,8888,2983866,credit,rent,2025-06-22 16:38:15.831224
335,136,88,-2717901,credit,,2025-07-19 16:38:15.831228
336,68,8888,2856279,debt,salary,2025-07-11 16:38:15.831231
337,132,29,4066557,debt,,2025-07-29 16:38:15.831234
338,13,8888,3309113,debit,rent,2025-05-10 16:38:15.831238
339,23,78,4014124,debt,salary,2025-06-23 16:38:15.831241
340,71,8888,-4058296,debit,salary,2025-06-26 16:38:15.831244
341,132,8888,2729814,debit,,2025-08-07 16:38:15.831248
342,141,47,3339509,debit,rent,2025-06-12 16:38:15.831252
343,34,8888,-3914361,credit,transfer,2025-05-20 16:38:15.831255
344,93,8888,3679636,debit,groceries,2025-12-06 16:38:15.831259
345,61,8888,4538400,debit,salary,2025-08-03 16:38:15.831263
346,113,8888,3984632,debt,salary,2025-08-03 16:38:15.831266
347,40,8888,4119739,debt,,2025-05-03 16:38:15.831270
348,77,8888,-4311444,credit,salary,2025-09-24 16:38:15.831274
349,15,78,2367504,debit,,2025-12-12 16:38:15.831278
350,128,8888,-2902820,credit,transfer,2025-03-16 16:38:15.831282
351,88,8888,4403384,debt,,2025-05-04 16:38:15.831285
352,102,8888,3867449,debit,rent,2025-12-08 16:38:15.831288
353,50,8888,-3543997,debit,transfer,2025-03-10 16:38:15.831292
354,130,78,4126643,debt,,2025-03-29 16:38:15.831295
355,131,12,779989,debt,groceries,2025-04-06 16:38:15.831299
356,60,87,279190,debt,rent,2025-04-22 16:38:15.831302
357,127,8888,3496628,debit,salary,2025-07-09 16:38:15.831306
358,46,8888,273753,credit,transfer,2025-05-10 16:38:15.831310
359,124,17,-3845455,debit,transfer,2025-09-19 16:38:15.831313
360,147,9,2177595,debt,transfer,2025-05-12 16:38:15.831316
361,84,16,4715938,debit,,2025-09-27 16:38:15.831321
362,51,8888,-2147436,debit,,2025-10-11 16:38:15.831325
363,149,62,3155883,debit,transfer,2025-11-06 16:38:15.831329
364,31,8888,4172970,credit,transfer,2025-08-30 16:38:15.831332
365,147,8888,-4980481,debit,,2025-03-28 16:38:15.831336
366,1,8888,991435,credit,transfer,2025-06-14 16:38:15.831339
367,92,63,4960029,debit,groceries,2025-07-09 16:38:15.831343
368,26,8888,-1252095,credit,salary,2025-10-16 16:38:15.831347
369,126,8888,4072431,credit,rent,2025-07-12 16:38:15.831350
370,101,8888,-523820,debit,groceries,2025-09-21 16:38:15.831354
371,132,8888,4160483,debit,rent,2025-05-03 16:38:15.831357
372,10,81,228252,debit,transfer,2025-10-09 16:38:15.831360
373,23,80,-2580012,credit,rent,2025-05-21 16:38:15.831365
374,76,8888,2714489,debt,,2025-08-02 16:38:15.831368
375,134,94,4721131,debt,salary,2025-07-30 16:38:15.831372
376,70,57,-2136590,debit,salary,2025-03-15 16:38:15.831375
377,15,8888,4047263,debt,salary,2025-11-15 16:38:15.831379
378,149,8888,2017215,debt,,2025-04-01 16:38:15.831382
379,144,8888,1525320,debit,,2025-08-14 16:38:15.831386
380,17,8888,1367195,debt,,2025-04-03 16:38:15.831390
381,92,8888,3111576,credit,transfer,2025-02-13 16:38:15.831393
382,81,18,-4550253,credit,transfer,2025-04-05 16:38:15.831397
383,62,39,-4130461,debit,rent,2025-08-08 16:38:15.831401
384,92,8888,703450,debt,,2025-08-04 16:38:15.831404
385,51,25,3559775,debt,groceries,2025-06-26 16:38:15.831408
386,127,62,-1841041,credit,,2025-05-20 16:38:15.831412
387,2,56,3065624,debt,rent,2025-03-30 16:38:15.831415
388,65,8888,253174,credit,,2025-05-16 16:38:15.831419
389,109,8888,-1664320,debit,groceries,2025-04-22 16:38:15.831422
390,18,8888,993046,debt,groceries,2025-10-16 16:38:15.831426
391,146,8888,3410872,credit,,2025-02-15 16:38:15.831429
392,57,8888,-4600947,credit,groceries,2025-09-03 16:38:15.831433
393,45,47,3577290,debit,transfer,2025-08-23 16:38:15.831437
394,15,50,1263969,debt,,2025-06-07 16:38:15.831440
395,28,8888,3652767,credit,,2025-08-12 16:38:15.831444
396,119,8888,-4416625,debit,transfer,2025-07-14 16:38:15.831447
397,43,8888,-1746711,credit,transfer,2025-08-19 16:38:15.831451
398,117,80,-159471,credit,transfer,2025-08-30 16:38:15.831454
399,79,81,-1527643,debit,,2025-11-11 16:38:15.831458
400,38,41,892129,debt,transfer,2025-11-10 16:38:15.831461
401,62,42,1587784,credit,salary,2025-02-15 16:38:15.831465
402,141,8888,-4007895,credit,,2025-04-03 16:38:15.831469
403,97,61,3499389,credit,rent,2025-11-26 16:38:15.831473
404,79,8888,2065656,debt,,2025-10-26 16:38:15.831476
405,130,9,4050758,debt,,2025-06-25 16:38:15.831480
406,9,83,3094852,credit,rent,2025-12-08 16:38:15.831484
407,145,3,-1077402,debit,rent,2025-12-13 16:38:15.831487
408,112,8888,3208960,debt,groceries,2025-03-22 16:38:15.831491
409,30,91,-2250313,credit,groceries,2025-05-14 16:38:15.831494
410,51,21,4071531,debt,transfer,2025-09-21 16:38:15.831498
411,110,8888,737079,debt,groceries,2025-05-18 16:38:15.831502
412,64,96,-1124001,debit,groceries,2025-07-02 16:38:15.831505
413,47,8888,-2879241,credit,salary,2025-11-11 16:38:15.831509
414,43,8888,-1647604,credit,groceries,2025-08-06 16:38:15.831512
415,142,8888,-3718725,debit,transfer,2025-11-24 16:38:15.831516
416,17,8888,4972774,debt,rent,2025-04-15 16:38:15.831519
417,146,58,4391097,debt,rent,2025-06-09 16:38:15.831523
418,119,77,-3538792,debit,groceries,2025-09-09 16:38:15.831526
419,140,8888,3249954,debt,transfer,2025-08-22 16:38:15.831530
420,67,8888,1146504,debit,groceries,2025-04-02 16:38:15.831533
421,34,8888,4838082,debt,rent,2025-05-16 16:38:15.831537
422,116,99,-227355,debit,,2025-07-24 16:38:15.831540
423,91,55,2164280,credit,rent,2025-06-21 16:38:15.831544
424,144,8888,-3939422,debit,rent,2025-03-20 16:38:15.831547
425,11,3,4481614,credit,,2025-06-28 16:38:15.831551
426,111,38,2364354,debt,salary,2025-08-17 16:38:15.831555
427,19,8888,3682531,credit,rent,2025-03-09 16:38:15.831558
428,80,23,4522793,credit,salary,2025-08-11 16:38:15.831562
